Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Far East Horizon,"Hong Kong, Hong Kong",Business Services & Supplies,2008,Hong Kong,Fan Xing Kong,"23,257"
Faurecia,"Nanterre, France",Consumer Durables,Nanterre,France,"111,140",
Beijing Capital Development,"Beijing, China",Construction,1993,Beijing,Gang Sheng Pan,"2,139"
Samsung Securities,"Seoul, South Korea",Diversified Financials,1982,Seoul,Seok-Hoon Chang,"2,530"
Kesko,"Helsinki, Finland",Food Markets,1940,Helsinki,Mikko Matias Helander,"17,402"
Quanta Services,"Houston, Texas",Construction,1997,"Houston, Texas",Earl C. Austin Jr.,"43,700"
Maanshan Iron & Steel,"Wanchai, China",Materials,1993,Wanchai,Hai Fan Qian,"18,730"
PerkinElmer,"Waltham, Massachusetts",Health Care Equipment & Services,1947,"Waltham, Massachusetts",Prahlad Ramadhar Singh,"16,700"
RTL Group,"Luxembourg, Luxembourg",Media,1973,Luxembourg,Thomas Hermann Rabe,"11,011"
Navient,"Wilmington, Delaware",Diversified Financials,2013,"Wilmington, Delaware",John F. Remondi,"6,195"
Wharf Real Estate Investment,Hong Kong,Diversified Financials,Hong Kong,Tin Hoi Ng,,
Mitsubishi Materials,"Tokyo, Japan",Materials,1871,Tokyo,Naoki Ono,"27,162"
Masraf Al Rayan,"Doha, Qatar",Banking,2006,Doha,Fahad Abdullah Al-Khalifa,
Berry Global Group,"Evansville, Indiana","Engineering, Manufacturing",1967,"Evansville, Indiana",Thomas E. Salmon,"47,000"
Euronext,"Amsterdam, Netherlands",Diversified Financials,2014,Amsterdam,Stéphane Boujnah,"2,108"
MercadoLibre,"Montevideo, Uruguay",IT Software & Services,1999,Montevideo,Marcos Eduardo Galperin,"29,957"
Packaging Corp of America,"Lake Forest, Illinois",Materials,1959,"Lake Forest, Illinois",Mark W. Kowlzan,"15,200"
First American Financial,"Santa Ana, California",Insurance,"Santa Ana, California",United States,"22,233",
Wens Foodstuff Group,"Yunfu, China","Food, Drink & Tobacco",1993,Yunfu,Ju Ran Yan,"43,965"
Brenntag,"Essen, Germany",Trading Companies,2006,Essen,Christian Kohlpaintner,"17,236"
Coloplast,"Humlebaek, Denmark",Health Care Equipment & Services,1957,Humlebaek,Kristian Villumsen,"12,874"
Oji Holdings,"Tokyo, Japan",Materials,1949,Tokyo,Hiroyuki Isono,"36,034"
Spotify Technology,"Luxembourg, Luxembourg",IT Software & Services,2007,Luxembourg,Daniel Ek,"5,584"
BNK Financial Group,"Busan, South Korea",Banking,2011,Busan,Ji-Wan Kim,110
Zhongliang Holdings ,"Shanghai, China",Construction,2018,Shanghai,Chun Lei Huang,"10,317"
BPER Banca,"Modena, Italy",Banking,1867,Modena,Piero Luigi Montani,"16,616"
Wuestenrot & Wuerttembergische,"Stuttgart, Germany",Diversified Financials,1999,Stuttgart,Jürgen Albert Junker,"7,458"
Obayashi,"Tokyo, Japan",Construction,1936,Tokyo,Takeo Obayashi,"15,267"
Shanxi Taigang Stainless,"Taiyuan, China",Materials,1934,Taiyuan,Hua Li,"18,985"
MSCI,"New York, New York",Business Services & Supplies,1998,"New York, New York",Henry A. Fernandez,"3,633"
Grupo Elektra,"Mexico City, Mexico",Retailing,1950,Mexico City,Ricardo Benjamín Salinas Pliego,"71,278"
SDIC Power Holdings,"Beijing, China",Utilities,1989,Beijing,Ji Wei Zhu,"9,374"
VakifBank,"Istanbul, Turkey",Banking,1954,Istanbul,Abdi Serdar Üstünsalih,"17,825"
Cadence Design,"San Jose, California",IT Software & Services,"San Jose, California",United States,"9,300",
X5 Retail Group,"Moscow, Russia",Food Markets,1975,Moscow,Igor Shekhterman,"339,716"
AGCO,"Duluth, Georgia",Capital Goods,1990,"Duluth, Georgia",Eric P. Hansotia,"23,300"
NEXON,"Tokyo, Japan",IT Software & Services,2002,Tokyo,Owen Mahoney,"6,683"
Shengjing Bank,"Shenyang, China",Banking,1997,Shenyang,Zhang Qiyang,"8,099"
Extra Space Storage,"Salt Lake City, Utah",Diversified Financials,2004,"Salt Lake City, Utah",Joseph D. Margolis,"4,309"
Galp Energia,"Lisbon, Portugal",Oil & Gas Operations,1999,Lisbon,Andrew Brown,"6,152"
Royal Caribbean Group,"Miami, Florida","Hotels, Restaurants & Leisure",1997,"Miami, Florida",Jason Liberty,"50,000"
Wolters Kluwer,"Alphen aan Den Rijn, Netherlands",Professional Services,1987,Alphen aan Den Rijn,Nancy McKinstry,"19,800"
Sonic Healthcare,"Sydney, Australia",Health Care Equipment & Services,Sydney,Australia,"38,000",
Yuexiu Property ,"Hong Kong, Hong Kong",Construction,Hong Kong,Hong Kong,"16,320",
NetApp,"San Jose, California",Technology Hardware & Equipment,1992,"San Jose, California",George Kurian,"11,000"
Zoomlion Heavy Industry,"Changsha, China",Capital Goods,1992,Changsha,Chun Xin Zhan,
Powerlong Real Estate ,"Shanghai, China",Construction,2007,Shanghai,Wa Fong Hoi,"13,212"
XCMG Construction Machinery,"Xuzhou, China",Capital Goods,Xuzhou,China,"15,483",
Ajinomoto,"Tokyo, Japan","Food, Drink & Tobacco",1925,Tokyo,Takaaki Nishii,"33,461"
Taishin Financial Holdings,"Taipei, Taiwan",Diversified Financials,2002,Taipei,Welch Lin,"10,276"
Indorama Ventures,"Bangkok, Thailand",Chemicals,2003,Bangkok,Aloke Lohia,
Sun Pharma Industries,"Mumbai, India",Drugs & Biotechnology,1993,Mumbai,Dilip Shantilal Shanghvi,"37,000"
Assurant,"New York, New York",Insurance,1892,"New York, New York",Alan B. Colberg,"15,600"
Terumo,"Tokyo, Japan",Health Care Equipment & Services,1921,Tokyo,Shinjiro Sato,"26,482"
Japan Exchange Group,"Tokyo, Japan",Diversified Financials,1878,Tokyo,Akira Kiyota,"1,197"
Brown-Forman,"Louisville, Kentucky","Food, Soft Beverages, Alcohol & Tobacco",1870,"Louisville, Kentucky",Lawson Whiting,"4,700"
China Overseas Grand Oceans Group,"Hong Kong, Hong Kong",Construction,1955,Hong Kong,Lin Yang,"3,505"
LEG Immobilien AG,"Dusseldorf, Germany",Construction,2008,Dusseldorf,Lars von Lackum,"1,770"
Tokyo Century,"Tokyo, Japan",Business Services & Supplies,1969,Tokyo,Toshihito Tamba,"7,438"
South32,"Perth, Australia",Materials,2015,Perth,Graham Kerr,"9,074"
Swatch Group,"Biel, Switzerland",Consumer Durables,1983,Biel,Georges Nicolas Hayek Jr.,"31,444"
Halkbank,"Istanbul, Turkey",Banking,1933,Istanbul,Osman Arslan,
Xinjiang Daqo New Energy,"Shihezi, China",Materials,2011,Shihezi,Qiang Min Zhou,"2,413"
Waste Connections,"Woodbridge, Canada",Business Services & Supplies,2002,Woodbridge,Worthing F. Jackman,"19,998"
Smurfit Kappa Group,"Dublin, Ireland",Materials,1934,Dublin,Anthony Paul James Smurfit,"48,000"
Indian Bank,"Chennai, India",Banking,1907,Chennai,Shanti Lal Jain,"41,557"
Phoenix Holdings,"Givatayim, Israel",Insurance,Givatayim,Israel,"4,832",
Compal Electronics,"Taipei, Taiwan",Technology Hardware & Equipment,1984,Taipei,Chung-Pin Wong,
ENN Natural Gas,"Shijiazhuang, China",Chemicals,Shijiazhuang,China,,
IDEXX Laboratories,"Westbrook, Maine",Health Care Equipment & Services,1983,"Westbrook, Maine",Jay Mazelsky,"10,350"
McCormick,"Baltimore, Maryland","Food, Drink & Tobacco",1889,"Baltimore, Maryland",Lawrence Erik Kurzius,"14,000"
Aurubis,"Hamburg, Germany",Materials,1866,Hamburg,Roland Harings,"7,135"
Schroders,"London, United Kingdom",Diversified Financials,1804,London,Peter Harrison,"5,750"
Garmin,"Schaffhausen, Switzerland","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1989,Schaffhausen,Clifton Albert Pemble,"18,700"
StoneX Group,"New York, New York",Diversified Financials,"New York, New York",United States,"3,242",
Heimstaden AB Pref. Shs,"Malmö, Sweden",Construction,Malmö,Sweden,"2,242",
Tokyo Gas,"Tokyo, Japan",Oil & Gas Operations,1885,Tokyo,Michiaki Hirose,"16,858"
Guangzhou Rural Commercial Bank,"Guangzhou, China",Banking,1998,Guangzhou,Xue Fei Yi,"14,168"
Eurazeo,"Paris, France",Diversified Financials,1969,Paris,Virginie Sarah S.,"19,832"
Keysight Technologies,"Santa Rosa, California","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",2014,"Santa Rosa, California",Ron Nersesian,"3,400"
NARI Technology Development,"Nanjing, China",Capital Goods,Nanjing,China,"8,806",
Huadian Power International,"Beijing, China",Construction,1994,Beijing,Xiao Qian Luo,"25,139"
Magnit,"Krasnodar, Russia",Food Markets,1994,Krasnodar,Jan Gezinus Dunning,"316,001"
Bunzl,"London, United Kingdom",Trading Companies,1854,London,Frank Andre van Zanten,"21,021"
Marathon Oil,"Houston, Texas",Oil & Gas Operations,1887,"Houston, Texas",Lee M. Tillman,"1,531"
CJ Cheiljedang,"Seoul, South Korea","Food, Drink & Tobacco",2007,Seoul,"Shin-Ho Kang, Hyun-Jae Shin","8,156"
Teleperformance,"Paris, France",Business Services & Supplies,1978,Paris,Daniel Ernest Henri Julien,"418,742"
Sofina,"Brussels, Belgium",Diversified Financials,1956,Brussels,Harold Y. H. Boël,
CSN,"São Paulo, Brazil",Materials,1941,São Paulo,Benjamin Steinbruch,"35,179"
SSAB AB,"Stockholm, Sweden",Materials,Stockholm,Sweden,"14,235",
Campbell Soup,"Camden, New Jersey","Food, Drink & Tobacco",1869,"Camden, New Jersey",Mark A. Clouse,"14,100"
Hyundai Marine & Fire,"Seoul, South Korea",Insurance,1955,Seoul,Cheol-Young Lee,"4,061"
APA,"Houston, Texas",Oil & Gas Operations,1954,"Houston, Texas",John J. Christmann IV,"2,253"
Krung Thai Bank,"Bangkok, Thailand",Banking,1966,Bangkok,Krairit Euchukanonchai,
DiDi Global,"Beijing, China",IT Software & Services,2013,Beijing,Wei Cheng,
CF Industries Holdings,"Deerfield, Illinois",Chemicals,1946,"Deerfield, Illinois",W. Anthony Will,"3,000"
Brighthouse Financial,"Charlotte, North Carolina",Insurance,1863,"Charlotte, North Carolina",Eric Thomas Steigerwalt,"1,500"
International Airlines,"London, United Kingdom",Transportation,1974,London,Luís Gallego Martín,"56,658"
China Three Gorges Renewables (Group),"Beijing, China",Utilities,1985,Beijing,,
Electronic Arts,"Redwood City, California",Consumer Durables,1982,"Redwood City, California",Andrew P. Wilson,"11,000"
Arista Networks,"Santa Clara, California",Technology Hardware & Equipment,2004,"Santa Clara, California",Jayshree V. Ullal,"2,993"
Arab National Bank,"Riyadh, Saudi Arabia",Banking,1949,Riyadh,Obaid bin Abdullah Al-Rashid,"4,059"
Skyworks Solutions,"Irvine, California",Semiconductors,1962,"Irvine, California",Liam K. Griffin,"11,000"
Marvell Technology,"Wilmington, Delaware",Semiconductors,1995,"Wilmington, Delaware",Matthew J. Murphy,"6,729"
Tourmaline Oil,"Calgary, Canada",Oil & Gas Operations,2008,Calgary,Michael L. Rose,651
AIB Group,"Dublin, Ireland",Banking,1825,Dublin,Colin Hunt,"8,916"
PPL,"Allentown, Pennsylvania",Utilities,1994,"Allentown, Pennsylvania",Vincent Sorgi,"5,607"
China Resources Power,"Hong Kong, Hong Kong",Utilities,2001,Hong Kong,Ru Ge Li,"29,827"
Air France-KLM,"Paris, France",Transportation,2004,Paris,Benjamin M. Smith,"30,740"
Boliden,"Stockholm, Sweden",Materials,1925,Stockholm,Mikael Staffas,"6,167"
Flutter Entertainment,"Dublin, Ireland","Hotels, Restaurants & Leisure",1988,Dublin,Jeremy Peter Jackson,"16,813"
Adyen,"Amsterdam, Netherlands",IT Software & Services,2006,Amsterdam,Pieter van van der Does,"2,180"
Jacobs Engineering,"Dallas, Texas","Construction, Oil & Gas Operations, Mining and Chemicals",1947,"Dallas, Texas",Steve Demetriou,"55,000"
Transurban Group,"Docklands, Australia",Transportation,1996,Docklands,Louis Scott Charlton,"8,000"
Banco BPM,"Milan, Italy",Banking,2017,Milan,Giuseppe Castagna,"22,000"
HBIS,"Shijiazhuang, China",Materials,2008,Shijiazhuang,Bin Xu,"35,336"
LG ,"Seoul, South Korea",Chemicals,1958,Seoul,"Kwang-Mo Koo, Young-Soo Kwon",186
China Fortune Land Development,"Beijing, China",Construction,Beijing,China,"21,450",
Skanska,"Stockholm, Sweden",Construction,1887,Stockholm,Anders Danielsson,"34,000"
Inter Rao,"Moscow, Russia",Utilities,1997,Moscow,Boris Yuryevich Kovalchuk,
Nedbank,"Sandton, South Africa",Banking,1888,Sandton,Michael William Thomas,"27,303"
Ametek,"Berwyn, Pennsylvania",Conglomerates,1930,"Berwyn, Pennsylvania",David A. Zapico,"18,500"
Migdal Insurance,"Petach Tikva, Israel",Insurance,1974,Petach Tikva,Nir Gilad,"4,565"
Schaeffler,"Herzogenaurach, Germany",Consumer Durables,1982,Herzogenaurach,Klaus Rosenfeld,"82,981"
Samhallsbyggnadsbolaget I Norden,"Stockholm, Sweden",Construction,Stockholm,Sweden,289,
SG Holdings,"Kyoto, Japan",Transportation,2006,Kyoto,Tadashi Machida,"52,021"
Sojitz,"Tokyo, Japan",Trading Companies,2003,Tokyo,Masayoshi Fujimoto,"19,463"
Hydro One,"Toronto, Canada",Utilities,2015,Toronto,Mark Poweska,"8,398"
Frontier Communications Parent,"Norwalk, Connecticut",Telecommunications Services,"Norwalk, Connecticut",United States,"15,600",
Wuxi Apptec,"Shanghai, China",Drugs & Biotechnology,2000,Shanghai,"Edward Hu, Ge Li","34,912"
Banco de Sabadell,"Alicante, Spain",Banking,1881,Alicante,César González-Bueno,"20,070"
Popular,"San Juan, United States",Banking,1893,San Juan,Ignacio Alvarez,"8,351"
Olam Group,"Singapore, Singapore","Food, Drink & Tobacco",1989,Singapore,Sunny George Verghese,"81,650"
Yara International,"Oslo, Norway",Chemicals,2003,Oslo,Svein Tore Holsether,"16,757"
Dongguan Rural Commercial Bank,"Dongguan, China",Banking,1952,Dongguan,"7,962",
Hopson Development Holdings,"Hong Kong, Hong Kong",Construction,1992,Hong Kong,Rong Gui Xi,"11,775"
Dassault Aviation,"Paris, France",Aerospace & Defense,1911,Paris,Éric Trappier,"12,371"
Grupo Inbursa,"Mexico City, Mexico",Banking,1985,Mexico City,Javier Foncerrada Izquierdo,"11,441"
Goertek,"Weifang, China",Technology Hardware & Equipment,2001,Weifang,Long Jiang,"95,780"
Universal Health Services,"King of Prussia, Pennsylvania",Healthcare & Social,1979,"King of Prussia, Pennsylvania",Marc D. Miller,"89,000"
Copart,"Dallas, Texas",Business Services & Supplies,1982,"Dallas, Texas",Aaron Jayson Adair,"8,600"
Jiangsu Hengrui Medicine,"Lianyungang, China",Drugs & Biotechnology,1970,Lianyungang,Yun Shu Zhou,"28,903"
New Hope Liuhe,"Chengdu, China","Food, Drink & Tobacco",1998,Chengdu,Ming Gui Zhang,"95,993"
Dick's Sporting Goods,"Coraopolis, Pennsylvania",Retail and Wholesale,1948,"Coraopolis, Pennsylvania",Lauren R. Hobart,"50,800"
Canadian Tire,"Toronto, Canada",Retail and Wholesale,1922,Toronto,Greg Hicks,"31,786"
Chongqing Changan Auto,"Chongqing, China",Consumer Durables,1996,Chongqing,Hua Rong Zhu,"40,298"
Vienna Insurance Group,"Vienna, Austria",Insurance,1824,Vienna,Elisabeth Stadler,"25,736"
KPN,"Rotterdam, Netherlands",Telecommunications Services,1989,Rotterdam,Joost F. E. Farwerck,"9,699"
Sharp,"Sakai, Japan",Consumer Durables,1912,Sakai,Bo Xun Wu,"50,478"
Mitsui Chemicals,"Tokyo, Japan",Chemicals,1997,Tokyo,Osamu Hashimoto,"18,051"
Midea Real Estate Holding,"Foshan City, China",Construction,2017,Foshan City,"14,413",
Akbank,"Istanbul, Turkey",Banking,1948,Istanbul,Hakan Binbasgil,"12,459"
Kohl's,"Menomonee Falls, Wisconsin",Retail and Wholesale,1962,"Menomonee Falls, Wisconsin",Michelle Gass,"99,000"
Bangkok Bank,"Bangkok, Thailand",Banking,1993,Bangkok,Deja Tulananda,
Israel Discount Bank,"Tel Aviv, Israel",Banking,1935,Tel Aviv,Uri Levin,"8,899"
Metro,"Montréal, Canada",Food Markets,1947,Montréal,Eric Richer la Flèche,"90,000"
Raizen,"Rio de Janeiro, Brazil",Retailing,Rio de Janeiro,Brazil,"29,350",
Wuchan Zhongda Group,"Hangzhou, China",Trading Companies,Hangzhou,China,"20,322",
Old Dominion Freight Line,"Thomasville, North Carolina",Transportation and Logistics,1934,"Thomasville, North Carolina",Greg C. Gantt,"24,000"
Hologic,"Marlborough, Massachusetts",Health Care Equipment & Services,1985,"Marlborough, Massachusetts",Stephen P. MacMillan,"6,705"
Western Alliance Bancorp.,"Phoenix, Arizona",Banking,1995,"Phoenix, Arizona",Kenneth A. Vecchione,"3,139"
China Gas Holdings,"Hong Kong, Hong Kong",Utilities,1995,Hong Kong,Ming Hui Liu,"59,462"
Eurofins Scientific Societe Europeenne,"Luxembourg, Luxembourg",Health Care Equipment & Services,2012,Luxembourg,Gilles G. Martin,"57,992"
Guangzhou R&F,"Guangzhou, China",Construction,1994,Guangzhou,Li Zhang,"60,325"
Lundbergs,"Stockholm, Sweden",Diversified Financials,1944,Stockholm,Lars Fredrik Elis Lundberg,"3,259"
Sichuan Road & Bridge,"Chengdu, China",Construction,Chengdu,China,"13,763",
Royal Mail,"London, United Kingdom",Transportation,2013,London,Simon Thompson,"174,812"
Shanxi Xinghuacun Fen Wine Factory,"Luliang, China","Food, Drink & Tobacco",Luliang,China,"12,614",
Bank of Greece,"Athens, Greece",Banking,1927,Athens,Konstantinos Panteli Michalidis,"1,882"
HD HYUNDAI,"Daegu, South Korea",Capital Goods,1972,Daegu,Oh-Gap Kwon,39
Kobe Steel,"Kobe, Japan",Materials,1905,Kobe,Mitsugu Yamaguchi,"40,517"
Bank Of Guiyang,"Guiyang, China",Banking,1997,Guiyang,Zong Quan Chen,"6,594"
Nippon Paint,"Osaka, Japan",Chemicals,1881,Osaka,Masaaki Tanaka,"30,247"
Arkema,"Colombes, France",Chemicals,2003,Colombes,Thierry le Hénaff,"20,030"
Top Frontier Investment Holdings,"Makati, Philippines",Oil & Gas Operations,2008,Makati,Ramon S. Ang,"28,651"
Datang International Power,"Beijing, China",Utilities,1994,Beijing,Yong Pan Liang,"33,483"
Bluescope Steel,"Melbourne, Australia",Materials,2002,Melbourne,Mark Royce Vassella,"6,000"
Illumina,"San Diego, California",Drugs & Biotechnology,1998,"San Diego, California",Francis A. deSouza,"9,800"
Tenaris,"Luxembourg, Luxembourg",Materials,1948,Luxembourg,Paolo Rocca,"22,776"
Synopsys,"Mountain View, California",IT Software & Services,1986,"Mountain View, California",Dr. Aart de Geus,"16,361"
Jeronimo Martins,"Lisbon, Portugal",Food Markets,1792,Lisbon,Pedro Manuel de Castro Soares dos Santos,"123,458"
Alstom,"Saint-Ouen, France",Capital Goods,1928,Saint-Ouen,Henri Poupart-Lafarge,"71,692"
Goodyear,"Akron, Ohio",Automotive (Automotive and Suppliers),1898,"Akron, Ohio",Richard J. Richard J. Kramer,"72,000"
Zimmer Biomet,"Warsaw, Indiana",Health Care Equipment & Services,1927,"Warsaw, Indiana",Bryan C. Hanson,"19,500"
Santos,"Adelaide, Australia",Oil & Gas Operations,1954,Adelaide,Kevin Thomas Gallagher,"3,786"
Alcoa,"Pittsburgh, Pennsylvania","Engineering, Manufacturing",1888,"Pittsburgh, Pennsylvania",Roy Harvey,"12,200"
Petronas Chemicals,"Kuala Lumpur, Malaysia",Chemicals,1998,Kuala Lumpur,Yusri bin Mohamed Yusof,"4,585"
Chipotle Mexican Grill,"Newport Beach, California","Hotels, Restaurants & Leisure",1993,"Newport Beach, California",Brian R. Niccol,"97,660"
Turkish Airlines,"Istanbul, Turkey",Transportation,1933,Istanbul,Bilal Eksi,"37,670"
Toppan Printing,"Tokyo, Japan",Business Services & Supplies,1900,Tokyo,Naoki Adachi,"52,401"
Kyushu Electric Power,"Fukuoka, Japan",Utilities,1951,Fukuoka,Masayoshi Nuki,"21,273"
Terna,"Rome, Italy",Utilities,1962,Rome,Stefano Antonio Donnarumma,"4,699"
VICI Properties,"New York, New York",Diversified Financials,2016,"New York, New York",Edward Baltazar Pitoniak,152
Carnival Corporation,"Miami, Florida","Hotels, Restaurants & Leisure",1972,"Miami, Florida",Arnold W. Donald,"150,000"
ON Semiconductor Corp.,"Phoenix, Arizona",Semiconductors,1999,"Phoenix, Arizona",Hassane El-Khoury,"30,000"
Towngas,"Hong Kong, Hong Kong",Oil & Gas Operations,1982,Hong Kong,Wing Kin Chan,"2,106"
Shanghai Electric Group,"Shanghai, China",Capital Goods,2004,Shanghai,Wei Qing Leng,"39,015"
Old Republic International,"Chicago, Illinois",Insurance,1887,"Chicago, Illinois",Craig R. Smiddy,"9,600"
Inner Mongolia Baotou Steel,"Baotou, China",Materials,1999,Baotou,Xiao Li,"27,018"
GAIL India,"New Delhi, India",Oil & Gas Operations,1984,New Delhi,Manoj Jain,"18,084"
Experian,"Dublin, Ireland",Business Services & Supplies,1980,Dublin,Brian Jude Cassin,"17,800"
EQT AB,"Stockholm, Sweden",Diversified Financials,2011,Stockholm,Christian Otto Sinding,"1,160"
Mirae Asset Financial Group,"Seoul, South Korea",Diversified Financials,1999,Seoul,"Ung-Kee Cho, Hyun-Man Choi","3,809"
Ferrari,"Maranello, Italy",Consumer Durables,1939,Maranello,Benedetto Vigna,"4,609"
PGE Polska Grupa Energetyczna,"Warsaw, Poland",Utilities,1990,Warsaw,Wojciech Dabrowski,"40,141"
Banca Mediolanum,"Basiglio, Italy",Insurance,1997,Basiglio,Massimo Antonio Doris,"3,318"
Tohoku Electric Power,"Sendai, Japan",Utilities,1951,Sendai,Makoto Kaiwa,"24,717"
TransDigm Group,"Cleveland, Ohio",Aerospace & Defense,2003,"Cleveland, Ohio",Kevin M. Stein,"13,300"
Eastman Chemical,"Kingsport, Tennessee",Chemicals,1920,"Kingsport, Tennessee",Mark J. Costa,"14,500"
Vistra Energy,"Irving, Texas",Utilities,"Irving, Texas",United States,"5,060",
Beiersdorf,"Hamburg, Germany",Household & Personal Products,1882,Hamburg,Vincent Warnery,"20,567"
Leidos,"Reston, Virginia","IT, Internet, Software & Services",1969,"Reston, Virginia",Roger Krone,"39,000"
Kerry Group,"Tralee, Ireland","Food, Drink & Tobacco",1972,Tralee,Edmond Scanlon,"22,000"
Hua Nan Financial,"Taipei, Taiwan",Diversified Financials,1919,Taipei,Pau Chu Lo,"10,782"
Jiangsu Yanghe Brewery,"Suqian, China","Food, Drink & Tobacco",2002,Suqian,Yu Zhong,"15,831"
Umicore,"Brussels, Belgium",Materials,1904,Brussels,Mathias Miedreich,"11,050"
Expedia Group,"Seattle, Washington",Travel & Leisure,1996,"Seattle, Washington",Peter M. Kern,"14,800"
Olympus,"Tokyo, Japan",Technology Hardware & Equipment,1919,Tokyo,Yasuo Takeuchi,"31,653"
Suning.com,"Nanjing, China",Retailing,1996,Nanjing,Xiao Ling Wang,"45,598"
National Bank of Greece,"Athens, Greece",Banking,1841,Athens,Paul K. Mylonas,"7,346"
Kuaishou Technology,"Beijing, China",IT Software & Services,2014,Beijing,Yi Xiao Cheng,"28,098"
China Resources Pharmaceutical Group,"Hong Kong, Hong Kong",Drugs & Biotechnology,1938,Hong Kong,Xiao Song Bai,"62,000"
Voestalpine,"Linz, Austria",Materials,1945,Linz,Herbert Eibensteiner,"47,357"
Bank of Changsha,"Changsha, China",Banking,1997,Changsha,Xiao Zhong Zhao,"7,618"
Targa Resources,"Houston, Texas",Oil & Gas Operations,2005,"Houston, Texas",Matthew J. Meloy,"2,430"
BBMG,"Beijing, China",Construction,2005,Beijing,Ying Wu Jiang,"46,447"
Kirin Holdings,"Tokyo, Japan","Food, Drink & Tobacco",1907,Tokyo,Yoshinori Isozaki,"29,515"
Alpha Dhabi Holding,"Abu Dhabi, United Arab Emirates",Construction,2013,Abu Dhabi,Hamad Salem Mohamed Al-Ameri,
Evergy,"Kansas City, Missouri",Utilities,1909,"Kansas City, Missouri",David A. Campbell,"4,930"
Magnitogorsk Iron & Steel,"Magnitogorsk, Russia",Materials,1932,Magnitogorsk,Pavel Vladimirovich Shilyaev,
Angang Steel,"Anshan, China",Materials,1997,Anshan,Shi Shuai Xu,"30,412"
NVR,"Reston, Virginia",Construction,"Reston, Virginia",United States,"6,600",
STO Express,"Shanghai, China",Construction,2001,Shanghai,Wen Bin Wang,
Chongqing Zhifei Biological Products,"Chongqing, China",Drugs & Biotechnology,1995,Chongqing,Ren Sheng Jiang,"2,972"
Zoom Video Communications,"San Jose, California",IT Software & Services,2011,"San Jose, California",Eric S. Yuan,"6,787"
Secom,"Tokyo, Japan",Business Services & Supplies,1962,Tokyo,Ichiro Ozeki,"59,436"
China National Chemical,"Beijing, China",Construction,1953,Beijing,Gang Wen,"44,173"
New World Development,"Hong Kong, Hong Kong",Construction,1970,Hong Kong,"Chi Kong Cheng, Kar-Shun Cheng","30,000"
Fastenal,"Winona, Minnesota",Retail and Wholesale,1967,"Winona, Minnesota",Daniel L. Florness,"21,000"
Hexagon ,"Stockholm, Sweden",Conglomerates,1969,Stockholm,Ola Rollén,"22,097"
Cemex,"San Pedro Garza García, Mexico",Construction,1906,San Pedro Garza García,Fernando Angel González Olivieri,"46,206"
ZIM Integrated Shipping Services,"Haifa, Israel",Transportation,1945,Haifa,Eliyahu Glickman,"5,931"
Textron,"Providence, Rhode Island",Aerospace & Defense,1923,"Providence, Rhode Island",Scott C. Donnelly,"33,000"
Caesars Entertainment,"Las Vegas, Nevada",Travel & Leisure,1937,"Las Vegas, Nevada",Tom Reeg,"10,000"
Kajima,"Tokyo, Japan",Construction,1840,Tokyo,Mitsuyoshi Nakamura,"18,905"
Steel Authority of India,"New Delhi, India",Materials,1954,New Delhi,Anirban Dasgupta,"130,999"
CapitaLand Investment,"Singapore, Singapore",Construction,2003,Singapore,Chee Koon Lee,"10,000"
Falabella,"Santiago, Chile",Retailing,1937,Santiago,Gastón Bottazzini,"103,926"
Fastighets Balder,"Gothenburg, Sweden",Construction,2005,Gothenburg,Kjell Erik Torne Torne,"1,040"
CJ Corporation,"Seoul, South Korea","Food, Drink & Tobacco",1953,Seoul,"Hong-Gi Kim, Keun-Hee Park",59
Coupang,"Seoul, South Korea",Retailing,2010,Seoul,"68,000",
Welltower,"Toledo, Ohio",Diversified Financials,1970,"Toledo, Ohio",Shankh Mitra,464
Yamaha Motor,"Iwata, Japan",Consumer Durables,1918,Iwata,Yoshihiro Hidaka,"51,249"
Kingfisher,"London, United Kingdom",Retailing,1982,London,Thierry Garnier,"82,019"
Darden Restaurants,"Orlando, Florida",Restaurants,1968,"Orlando, Florida",Gene Lee,"160,000"
Old Mutual,"Cape Town, South Africa",Diversified Financials,2017,Cape Town,Iain George Williamson,"29,861"
Hess,"New York, New York",Oil & Gas Operations,1920,"New York, New York",John B. Hess,"1,545"
Storebrand,"Lysaker, Norway",Insurance,1982,Lysaker,Odd Arild Grefstad,"1,901"
Penske Automotive,"Bloomfield Hills, Michigan",Retailing,1992,"Bloomfield Hills, Michigan",Roger S. Penske Sr.,"25,000"
Yum China Holdings,"Shanghai, China","Hotels, Restaurants & Leisure",1987,Shanghai,Joey Wat,"450,000"
DaVita,"Denver, Colorado",Healthcare & Social,2000,"Denver, Colorado",Javier J. Rodriguez,"55,000"
Sodexo,"Issy-les-Moulineaux, France",Business Services & Supplies,1966,Issy-les-Moulineaux,Sophie Clamens Bellon,"412,088"
Rolls-Royce Holdings,"London, United Kingdom","Engineering, Manufacturing",1904,London,David Warren Arthur East,"44,000"
Bank Negara Indonesia,"Jakarta, Indonesia",Banking,1946,Jakarta,Royke Tumilaar,"27,177"
